SAMPLEID,PROJECTCOD,SAMPLETYPE,X,Y,Z,ZONE,AnomalyID,StmNo,As_40PNB_p,Co_40PNB_p,Cu_40PNB_p,Cu_40U6D_p,Ni_40PNB_p,Pb_40PNB_p,Sn_40ZZZ_p,Zn_40PNB_p,DLAT_2020,DLONG_2020
PM401946,KIMBERLEY,STMSD,292950,7934337,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.03
PM401947,KIMBERLEY,STMSD,293603,7937555,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.64,127.04
PM401948,KIMBERLEY,STMSD,293567,7936707,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.64,127.04
PM401949,KIMBERLEY,STMSD,293871,7936696,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.64,127.04
PM401950,KIMBERLEY,STMSD,293414,7936060,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.65,127.04
PM401951,KIMBERLEY,STMSD,293106,7935503,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.65,127.03
PM401952,KIMBERLEY,STMSD,292721,7935870,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.65,127.03
PM401953,KIMBERLEY,STMSD,292580,7936449,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.65,127.03
PM401954,KIMBERLEY,STMSD,292420,7934829,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.66,127.03
PM401955,KIMBERLEY,STMSD,292653,7933905,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.03
PM401956,KIMBERLEY,STMSD,292064,7933664,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.02
PM401957,KIMBERLEY,STMSD,291658,7934030,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.02
PM401958,KIMBERLEY,STMSD,290991,7934074,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.01
PM401959,KIMBERLEY,STMSD,290718,7934146,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.67,127.01
PM401960,KIMBERLEY,STMSD,290973,7935087,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.66,127.01
PM401961,KIMBERLEY,STMSD,291334,7935509,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.65,127.02
PM401962,KIMBERLEY,STMSD,292268,7932959,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.68,127.03
PM401963,KIMBERLEY,STMSD,292495,7932594,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.68,127.03
PM401964,KIMBERLEY,STMSD,293284,7932913,0,AMG84-52,,0,-9999,-9999,0,0,0,0,-9999,0,-18.68,127.04
